Comment,positive,negative,neutral
Ossm,0.0,0.0,1.0
Is goodapp,0.0,0.0,1.0
Please use google pay because they are charging amount for recharge. I am going to uninstall application and never back to phonepe app.,0.097,0.059,0.844
Super,1.0,0.0,0.0
love the faster and secure payments,0.623,0.0,0.377
Customers Support Not Good and evng 6 pm to 8 pm maximum case upi slow and wait problems with last 8 to 10 months payment failure and payment back in account next 7 to 10 days and now add extra charge,0.061,0.191,0.748
Fee,0.0,0.0,1.0
I can't get any cashback rewards on bills payment . Ussles app,0.256,0.0,0.744
Best,1.0,0.0,0.0
Good ,1.0,0.0,0.0
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Good experience But Cash Back Not Good,0.537,0.0,0.463
Very nice app,0.607,0.0,0.393
Nice app phonepe fast recharge moblie thankyou phone pe ,0.259,0.0,0.741
You are best,0.677,0.0,0.323
Good,1.0,0.0,0.0
Excellent App,0.787,0.0,0.213
Best ,1.0,0.0,0.0
Nyc.,0.0,0.0,1.0
Nice,1.0,0.0,0.0
Mb,0.0,0.0,1.0
Nice and easy to use,0.655,0.0,0.345
Good app,0.744,0.0,0.256
It's very good.,0.615,0.0,0.385
Good application,0.744,0.0,0.256
Super,1.0,0.0,0.0
Great,1.0,0.0,0.0
Bogaus,0.0,0.0,1.0
Good.,1.0,0.0,0.0
Love it,0.808,0.0,0.192
Superb,1.0,0.0,0.0
Excellent,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Worst app I have never seen means ihave maken a payment they have not sent to the bank,0.0,0.215,0.785
Good app,0.744,0.0,0.256
Azam,0.0,0.0,1.0
Good work,0.744,0.0,0.256
Nice app,0.737,0.0,0.263
Nyc,0.0,0.0,1.0
Very easy n reliable,0.615,0.0,0.385
Best,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
Nice app,0.737,0.0,0.263
VERY GOOD,0.762,0.0,0.238
"Not good , mot working",0.0,0.445,0.555
Good,1.0,0.0,0.0
Good luck,1.0,0.0,0.0
Outstanding,1.0,0.0,0.0
Excellent,1.0,0.0,0.0
Best,1.0,0.0,0.0
Very good,0.762,0.0,0.238
Excellent,1.0,0.0,0.0
Gd,0.0,0.0,1.0
"worst app ... I can't use my wallet except few websites.. if someone ask me to use this app by money ,I will not use this app.. because o can't use my money if I want to.. main bas intajar kar rahi hun kab mera wallet empty ho or me kab es app ko mene phone se delete kro..",0.022,0.098,0.88
Nice app. Easy to operate.,0.655,0.0,0.345
It's Good,0.744,0.0,0.256
Superb,1.0,0.0,0.0
Excellent,1.0,0.0,0.0
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Super UPI Payment,0.661,0.0,0.339
N8ce,0.0,0.0,1.0
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
Supar,0.0,0.0,1.0
Great app,0.804,0.0,0.196
Excellent,1.0,0.0,0.0
Fine,1.0,0.0,0.0
Good,1.0,0.0,0.0
Poor transaction facility,0.0,0.608,0.392
no offer like Google pay,0.309,0.444,0.247
Very useful and nice app. Easy to use.,0.647,0.0,0.353
Very good,0.762,0.0,0.238
They will give useless coupon rewards What should we do with that coupons,0.183,0.166,0.651
Comfort,1.0,0.0,0.0
worst app,0.0,0.804,0.196
The best sarvice,0.677,0.0,0.323
Excellent,1.0,0.0,0.0
Si is good,0.592,0.0,0.408
Good,1.0,0.0,0.0
No issues so far,0.0,0.423,0.577
Good trng app,0.592,0.0,0.408
Very good,0.762,0.0,0.238
Good,1.0,0.0,0.0
Nice transaction aap,0.583,0.0,0.417
Very fast and no delay in payments....no processing issues.,0.0,0.405,0.595
Wonderful,1.0,0.0,0.0
Nice app,0.737,0.0,0.263
Thik,0.0,0.0,1.0
Cashback de Mujhe 1cr. Ka,0.0,0.0,1.0
Nice,1.0,0.0,0.0
Fantastic Application. It is more user friendly than Google pay. I would surely go for this one if I have to choose between the two.,0.328,0.046,0.625
Jabardast,0.0,0.0,1.0
Phonpe I was using since 3 years I think but now I am not able to check my account balance and strange thing is phonpe asking me to verify number And account.. disappointed,0.043,0.188,0.769
"Lot of bugs in the app, lost my money due to it. I booked irctc ticket and was successful but due to a problem in my house I wanted to cancel ticket but unabke to do so. I get error as Invalid train number. They released ticket cancelation feature without properly testing it. Because of the bug I have lost my money. Request to all the users do not use any new features, you might loose your money like I did.",0.078,0.194,0.728
Good,1.0,0.0,0.0
worst service,0.0,0.804,0.196
Very good service,0.615,0.0,0.385
Supar,0.0,0.0,1.0
Nice,1.0,0.0,0.0
Scratch to get 100% rating ðŸ˜’,0.0,0.0,1.0
Very good app.,0.615,0.0,0.385
Good app 10 $do please,0.634,0.0,0.366
Super,1.0,0.0,0.0
PARVEENKUMAR,0.0,0.0,1.0
Good,1.0,0.0,0.0
doesn’t hang at all,0.0,0.0,1.0
Very good,0.762,0.0,0.238
Good,1.0,0.0,0.0
Very good aap and very fast,0.39,0.0,0.61
Hdmuku,0.0,0.0,1.0
Not bad,0.74,0.0,0.26
Worst app taking convinient charge and gst on every transaction...cheating us charging extra money on every recharges and bill payment,0.0,0.177,0.823
good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Supper,0.0,0.0,1.0
Super,1.0,0.0,0.0
I love you ,0.808,0.0,0.192
Nice,1.0,0.0,0.0
V. Good,0.744,0.0,0.256
Nice,1.0,0.0,0.0
Excellent,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Super,1.0,0.0,0.0
Very nice,0.756,0.0,0.244
Good,1.0,0.0,0.0
nice,1.0,0.0,0.0
"good service , must add more options Many more improvement, Very useful, Thanks Phonepe",0.588,0.0,0.412
"This app is very useful for all ,but sometimes doesn't work properly",0.16,0.0,0.84
Fully satisfied,0.756,0.0,0.244
Hi naval kishore joshi,0.0,0.0,1.0
very good very good performance very useful,0.705,0.0,0.295
Good app,0.744,0.0,0.256
Good,1.0,0.0,0.0
Mast app,0.0,0.0,1.0
Good,1.0,0.0,0.0
DevaRam,0.0,0.0,1.0
Fully satisfied with the service,0.436,0.0,0.564
Very fast,0.0,0.0,1.0
